"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Automation Exercise E2E Testing","Contact Us","Contact Form","0","2","1","0","0"
"Automation Exercise E2E Testing","Navigation & UI","Page Navigation","0","0","9","0","0"
"Automation Exercise E2E Testing","User Authentication","User Registration","0","0","3","0","0"
"Automation Exercise E2E Testing","Product Catalog","Product Browsing","0","0","9","0","0"
"Automation Exercise E2E Testing","Shopping Cart","Cart Management","2","0","15","0","0"
"Automation Exercise E2E Testing","Checkout Process","Order Placement","4","0","11","0","0"
"Automation Exercise E2E Testing","Newsletter & Subscription","Newsletter Subscription","0","0","6","0","0"
"","","","0","0","9","0","0"
"Automation Exercise E2E Testing","User Authentication","User Login","3","0","3","0","0"
"Automation Exercise E2E Testing","User Authentication","User Logout","3","0","0","0","0"
"Automation Exercise E2E Testing","Product Catalog","Product Reviews","0","0","3","0","0"
"Automation Exercise E2E Testing","Product Catalog","Product Search","0","0","3","0","0"
"Automation Exercise E2E Testing","User Management","User Registration","3","0","2","0","0"
